muscle,last_trained,days_since,last_role,last_exercise,sessions_7d,primary_sets_7d
Pectoralis,2026-08-13,1,primary,Dips,2,18
Triceps,2026-08-13,1,primary,TRX Tricep Extension,2,18
Deltoids,2026-08-13,1,primary,Single-Arm Shoulder Press,3,15
Lats,2026-08-10,4,primary,Chin-Up,1,3
Biceps,2026-08-10,4,primary,Alternating Dumbbell Curl,1,3
Rhomboids,2026-08-10,4,secondary,TRX Y-Fly,1,3
Trapezius,2026-08-10,4,primary,Dumbbell Upright Row,1,6
Forearms,2026-08-10,4,secondary,Alternating Dumbbell Curl,1,0
Quadriceps,2026-08-09,5,primary,TRX Squat,1,4
Glutes,2026-08-09,5,primary,TRX Squat,1,6
Hamstrings,2026-08-09,5,primary,Bulgarian Split Squat (sprinter-lean),1,3
Calves,2026-08-02,12,primary,Calf Raise,0,0
Core,2026-08-13,1,secondary,TRX Tricep Extension,3,0
