date,split,lifts,sets,total_reps,notes
2026-08-13,push,5,15,153,"**Tempo: breath-tied.** Rest: 3 min between sets (his call tonight — ""I've been doing three""). Sets 1–2 leave ~1 rep in the tank; last set of each exercise to failure. Session total 153 vs 139 on 08-08, at the same tempo, longer rest. **Rest vs last time:** 08-08 used 90s then 2 min; tonight was 3 min throughout. Set-2 push-ups holding 12 (vs 9 last time) is the live data point that the extra rest"
2026-08-10,pull,5,15,157,"**Two swaps this session:** TRX face pulls in for TRX rows, alternating dumbbell curls in for incline hammer curls. Whole session run breath-tied and slow — his words, ""everything has been nice and slow."" taxed the rear delts; he expected the drop and got it ""@ 45 lb"" / ""@ 50"" with no per-hand, so tonight's 40/hand is not a clean comparison. From here, per-hand at the same weight). Supinated and a"
2026-08-09,legs,3,7,94,"**New exercise: Bulgarian split squats.** First time doing them. Two torso positions, logged separately because they load differently — reps are per leg. — 3 min rest between sets. Set 1 at 6 was the learning set; felt it squarely in the posterior chain. whether the angle moved the load into the quads Called it after the TRX squats on purpose, with more in the tank, to avoid being wrecked tomorrow"
2026-08-08,push,5,15,139,"**Tempo: breath-tied.** Up for the length of one inhale, down for the length of one exhale — roughly even in both directions, smooth and controlled. Not counted in seconds and not going to be. This is the standing tempo now, not an experiment. Rep counts are NOT comparable to 08-01 or earlier; a set of 7 at this tempo holds more time under load than a set of 12 did before. only exercise all night "
2026-08-05,pull,5,15,168,"Note: whole session run at a deliberate ~2s-up / ~2s-down tempo after reading that reps should take 1–2s per direction. Every rep count is down vs 07-31 — that's the tempo, not a regression; time-under-tension is up. Reps at slow tempo are not comparable to earlier entries."
2026-08-02,legs,5,12,214,"Note: TRX squats done leaned fully back on the straps, pushing through midfoot/heel like a leg-extension — toes and calves out of it, quads doing nearly all the work. Lower reps are the harder angle, not a regression; deliberate quad bias since the rest of the session is posterior chain."
2026-08-01,push,5,15,154,Note: shoulder press was deliberately not pushed because the shoulders felt a little weird; the workout was completed without chasing an unimportant number
2026-07-31,pull,5,15,200,"Note: a week since the last pull (07-24) — rotation slipped, legs repeated. Upright rows felt ""a bit too easy"" at 45; either 50 next time or land the clean 3×12 first."
2026-07-28,legs,6,12,212,"Note: grip is the limiter on both deadlift moves now, not the legs — no straps, letting the forearms catch up naturally. Nausea on set one from breath-holding; exhaling through lockout fixed it by set two."
2026-07-26,push,5,15,153,"Note: order corrected mid-session — compound before isolation, so dips moved ahead of TRX"
2026-07-24,pull,5,15,203,"Note: order changed — an isolation move came before upright rows instead of after, so that comparison isn't apples-to-apples Next targets: steeper TRX foot angle so 25 costs something; upright rows drop to 45 for 3×12 full range, stay at 45 until it lands Backfilled 2026-07-27 from the ""Pull workout"" session transcript — never written at the time"
2026-07-23,legs,6,13,231,"Note: DLs hard on abs (cramps) + forearms; both DL moves to 80/hand next session, forearm work during the week so grip doesn't fail first"
2026-07-19,push,5,12,125,"Note: showed up not wanting to, morning-dip fatigue + light fuel, still beat every lift; 3×10 incline is the step toward 3×12 → then 65"
2026-07-17,pull,5,15,187,Note: month-long gaps on pull have to stop; grease the groove (chin-ups + shrugs) on off days
2026-07-13,push,5,15,143,Session volume ~143 reps vs ~134 last comparables (+7%)
2026-07-05,pull,5,15,193,
2026-07-03,push,5,15,139,
2026-06-22,pull,6,15,161,
2026-06-20,push,5,15,155,
2026-06-19,legs,4,2,37,
