date,split,exercise_id,exercise,log_name,set,reps,weight_lb,per_hand,laterality,skipped,untracked,raw
2026-08-13,push,ex32,Incline Dumbbell Bench Press,Incline dumbbell bench press,1,10,60,yes,,,,"10, 10, 7 @ 60 lb/hand — 27 vs 24 on 08-08"
2026-08-13,push,ex32,Incline Dumbbell Bench Press,Incline dumbbell bench press,2,10,60,yes,,,,"10, 10, 7 @ 60 lb/hand — 27 vs 24 on 08-08"
2026-08-13,push,ex32,Incline Dumbbell Bench Press,Incline dumbbell bench press,3,7,60,yes,,,,"10, 10, 7 @ 60 lb/hand — 27 vs 24 on 08-08"
2026-08-13,push,ex03,Push-up,Push-ups,1,12,,,,,,"12, 12, 12 — 36 vs 29. Clean 3×12"
2026-08-13,push,ex03,Push-up,Push-ups,2,12,,,,,,"12, 12, 12 — 36 vs 29. Clean 3×12"
2026-08-13,push,ex03,Push-up,Push-ups,3,12,,,,,,"12, 12, 12 — 36 vs 29. Clean 3×12"
2026-08-13,push,ex33,Dips,Dips,1,8,,,,,,"8, 10, 8 — 26 vs 23. ""Pretty smoked"" after set 1; still up vs last time"
2026-08-13,push,ex33,Dips,Dips,2,10,,,,,,"8, 10, 8 — 26 vs 23. ""Pretty smoked"" after set 1; still up vs last time"
2026-08-13,push,ex33,Dips,Dips,3,8,,,,,,"8, 10, 8 — 26 vs 23. ""Pretty smoked"" after set 1; still up vs last time"
2026-08-13,push,ex05,Single-Arm Shoulder Press,Shoulder press (single-arm),1,12,20,yes,,,,"12, 11, 8 @ 20 lb/hand — 31 vs 30. Weight not restated; logged at last session's 20"
2026-08-13,push,ex05,Single-Arm Shoulder Press,Shoulder press (single-arm),2,11,20,yes,,,,"12, 11, 8 @ 20 lb/hand — 31 vs 30. Weight not restated; logged at last session's 20"
2026-08-13,push,ex05,Single-Arm Shoulder Press,Shoulder press (single-arm),3,8,20,yes,,,,"12, 11, 8 @ 20 lb/hand — 31 vs 30. Weight not restated; logged at last session's 20"
2026-08-13,push,ex40,TRX Tricep Extension,TRX tricep extensions,1,9,,,,,,"9, 12, 12 — 33 vs 33. First set 9, then 12/12"
2026-08-13,push,ex40,TRX Tricep Extension,TRX tricep extensions,2,12,,,,,,"9, 12, 12 — 33 vs 33. First set 9, then 12/12"
2026-08-13,push,ex40,TRX Tricep Extension,TRX tricep extensions,3,12,,,,,,"9, 12, 12 — 33 vs 33. First set 9, then 12/12"
2026-08-10,pull,ex20,Chin-Up,Chin-ups,1,9,,,,,,"9, 7, 7 — 23 vs 25 on 08-05"
2026-08-10,pull,ex20,Chin-Up,Chin-ups,2,7,,,,,,"9, 7, 7 — 23 vs 25 on 08-05"
2026-08-10,pull,ex20,Chin-Up,Chin-ups,3,7,,,,,,"9, 7, 7 — 23 vs 25 on 08-05"
2026-08-10,pull,ex21,Face Pull,TRX face pulls,1,17,,,,,,"17, 19, 14 — 50, NEW. No baseline; replaces TRX rows (56 on 08-05, different movement)"
2026-08-10,pull,ex21,Face Pull,TRX face pulls,2,19,,,,,,"17, 19, 14 — 50, NEW. No baseline; replaces TRX rows (56 on 08-05, different movement)"
2026-08-10,pull,ex21,Face Pull,TRX face pulls,3,14,,,,,,"17, 19, 14 — 50, NEW. No baseline; replaces TRX rows (56 on 08-05, different movement)"
2026-08-10,pull,ex-yfly,TRX Y-Fly,Curtain openers (TRX Y flies),1,11,,,,,,"11, 10, 9 — 30 vs 43. Ran second behind face pulls, which had already"
2026-08-10,pull,ex-yfly,TRX Y-Fly,Curtain openers (TRX Y flies),2,10,,,,,,"11, 10, 9 — 30 vs 43. Ran second behind face pulls, which had already"
2026-08-10,pull,ex-yfly,TRX Y-Fly,Curtain openers (TRX Y flies),3,9,,,,,,"11, 10, 9 — 30 vs 43. Ran second behind face pulls, which had already"
2026-08-10,pull,ex18,Dumbbell Upright Row,Dumbbell upright rows,1,10,40,yes,,,,"10, 8, 7 @ 40 lb/hand — 25 vs 26. **Weight note:** earlier entries logged as"
2026-08-10,pull,ex18,Dumbbell Upright Row,Dumbbell upright rows,2,8,40,yes,,,,"10, 8, 7 @ 40 lb/hand — 25 vs 26. **Weight note:** earlier entries logged as"
2026-08-10,pull,ex18,Dumbbell Upright Row,Dumbbell upright rows,3,7,40,yes,,,,"10, 8, 7 @ 40 lb/hand — 25 vs 26. **Weight note:** earlier entries logged as"
2026-08-10,pull,ex-altcurl,Alternating Dumbbell Curl,Alternating dumbbell curls,1,10,40,yes,,,,"10, 9, 10 @ 40 lb/hand — 29, NEW. Replaces incline hammer curls (18 on 08-05"
2026-08-10,pull,ex-altcurl,Alternating Dumbbell Curl,Alternating dumbbell curls,2,9,40,yes,,,,"10, 9, 10 @ 40 lb/hand — 29, NEW. Replaces incline hammer curls (18 on 08-05"
2026-08-10,pull,ex-altcurl,Alternating Dumbbell Curl,Alternating dumbbell curls,3,10,40,yes,,,,"10, 9, 10 @ 40 lb/hand — 29, NEW. Replaces incline hammer curls (18 on 08-05"
2026-08-09,legs,ex-bss-sprinter,Bulgarian Split Squat (sprinter-lean),"Bulgarian split squats, sprinter-lean (torso forward, posterior-chain bias)",1,6,25,yes,per_leg,,,"6, 12, 8 /leg @ 25 lb/hand"
2026-08-09,legs,ex-bss-sprinter,Bulgarian Split Squat (sprinter-lean),"Bulgarian split squats, sprinter-lean (torso forward, posterior-chain bias)",2,12,25,yes,per_leg,,,"6, 12, 8 /leg @ 25 lb/hand"
2026-08-09,legs,ex-bss-sprinter,Bulgarian Split Squat (sprinter-lean),"Bulgarian split squats, sprinter-lean (torso forward, posterior-chain bias)",3,8,25,yes,per_leg,,,"6, 12, 8 /leg @ 25 lb/hand"
2026-08-09,legs,ex-bss-upright,Bulgarian Split Squat (upright),"Bulgarian split squats, upright (torso perpendicular, quad bias)",1,8,25,yes,per_leg,,,"8 /leg @ 25 lb/hand — 1 set, to test"
2026-08-09,legs,ex-trx-squat,TRX Squat,TRX squats,1,20,,,,,,"20, 20, 20 — matched 07-28's best"
2026-08-09,legs,ex-trx-squat,TRX Squat,TRX squats,2,20,,,,,,"20, 20, 20 — matched 07-28's best"
2026-08-09,legs,ex-trx-squat,TRX Squat,TRX squats,3,20,,,,,,"20, 20, 20 — matched 07-28's best"
2026-08-08,push,ex32,Incline Dumbbell Bench Press,Incline dumbbell bench press,1,10,60,yes,,,,"10, 8, 6 @ 60 lb/hand — 24 vs 29 on 08-01"
2026-08-08,push,ex32,Incline Dumbbell Bench Press,Incline dumbbell bench press,2,8,60,yes,,,,"10, 8, 6 @ 60 lb/hand — 24 vs 29 on 08-01"
2026-08-08,push,ex32,Incline Dumbbell Bench Press,Incline dumbbell bench press,3,6,60,yes,,,,"10, 8, 6 @ 60 lb/hand — 24 vs 29 on 08-01"
2026-08-08,push,ex03,Push-up,Push-ups,1,12,,,,,,"12, 9, 8 — 29 vs 32"
2026-08-08,push,ex03,Push-up,Push-ups,2,9,,,,,,"12, 9, 8 — 29 vs 32"
2026-08-08,push,ex03,Push-up,Push-ups,3,8,,,,,,"12, 9, 8 — 29 vs 32"
2026-08-08,push,ex33,Dips,Dips,1,7,,,,,,"7, 9, 7 — 23 vs 33"
2026-08-08,push,ex33,Dips,Dips,2,9,,,,,,"7, 9, 7 — 23 vs 33"
2026-08-08,push,ex33,Dips,Dips,3,7,,,,,,"7, 9, 7 — 23 vs 33"
2026-08-08,push,ex05,Single-Arm Shoulder Press,Shoulder press (single-arm),1,10,20,yes,,,,"10, 10, 10 @ 20 lb/hand — dropped from 30 to 20; 30 reps vs 24, and the"
2026-08-08,push,ex05,Single-Arm Shoulder Press,Shoulder press (single-arm),2,10,20,yes,,,,"10, 10, 10 @ 20 lb/hand — dropped from 30 to 20; 30 reps vs 24, and the"
2026-08-08,push,ex05,Single-Arm Shoulder Press,Shoulder press (single-arm),3,10,20,yes,,,,"10, 10, 10 @ 20 lb/hand — dropped from 30 to 20; 30 reps vs 24, and the"
